java_file,rust_file,target_crate,rust_type,capability,status,test_evidence,source_commit
sa-token-core/src/main/java/cn/dev33/satoken/SaManager.java,crates/sa-token-core/src/sa_manager.rs,sa-token-core,SaManager,core,complete,crates/sa-token-core/tests/manager_listener_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/SaCheckDisable.java,crates/sa-token-core/src/annotation/sa_check_disable.rs,sa-token-core,SaCheckDisable,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/SaCheckHttpBasic.java,crates/sa-token-core/src/annotation/sa_check_http_basic.rs,sa-token-core,SaCheckHttpBasic,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/SaCheckHttpDigest.java,crates/sa-token-core/src/annotation/sa_check_http_digest.rs,sa-token-core,SaCheckHttpDigest,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/SaCheckLogin.java,crates/sa-token-core/src/annotation/sa_check_login.rs,sa-token-core,SaCheckLogin,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/SaCheckOr.java,crates/sa-token-core/src/annotation/sa_check_or.rs,sa-token-core,SaCheckOr,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/SaCheckPermission.java,crates/sa-token-core/src/annotation/sa_check_permission.rs,sa-token-core,SaCheckPermission,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/SaCheckRole.java,crates/sa-token-core/src/annotation/sa_check_role.rs,sa-token-core,SaCheckRole,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/SaCheckSafe.java,crates/sa-token-core/src/annotation/sa_check_safe.rs,sa-token-core,SaCheckSafe,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/SaIgnore.java,crates/sa-token-core/src/annotation/sa_ignore.rs,sa-token-core,SaIgnore,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/SaMode.java,crates/sa-token-core/src/annotation/sa_mode.rs,sa-token-core,SaMode,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/handler/SaAnnotationHandlerInterface.java,crates/sa-token-core/src/annotation/handler/sa_annotation_handler_interface.rs,sa-token-core,SaAnnotationHandlerInterface,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/handler/SaCheckDisableHandler.java,crates/sa-token-core/src/annotation/handler/sa_check_disable_handler.rs,sa-token-core,SaCheckDisableHandler,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/handler/SaCheckHttpBasicHandler.java,crates/sa-token-core/src/annotation/handler/sa_check_http_basic_handler.rs,sa-token-core,SaCheckHttpBasicHandler,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/handler/SaCheckHttpDigestHandler.java,crates/sa-token-core/src/annotation/handler/sa_check_http_digest_handler.rs,sa-token-core,SaCheckHttpDigestHandler,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/handler/SaCheckLoginHandler.java,crates/sa-token-core/src/annotation/handler/sa_check_login_handler.rs,sa-token-core,SaCheckLoginHandler,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/handler/SaCheckOrHandler.java,crates/sa-token-core/src/annotation/handler/sa_check_or_handler.rs,sa-token-core,SaCheckOrHandler,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/handler/SaCheckPermissionHandler.java,crates/sa-token-core/src/annotation/handler/sa_check_permission_handler.rs,sa-token-core,SaCheckPermissionHandler,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/handler/SaCheckRoleHandler.java,crates/sa-token-core/src/annotation/handler/sa_check_role_handler.rs,sa-token-core,SaCheckRoleHandler,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
sa-token-core/src/main/java/cn/dev33/satoken/annotation/handler/SaCheckSafeHandler.java,crates/sa-token-core/src/annotation/handler/sa_check_safe_handler.rs,sa-token-core,SaCheckSafeHandler,core,complete,crates/sa-token-core/tests/annotation_contract_test.rs,902886c2149261ccb53a9c982068b7ccd0990237
